tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
7325B71:LP-DIR-AF0	7325B71:LP-DIR-AF	7325B71	    0.4	090.7	-68.1 	0	0	0.00	0.00	0	273	This study	mit pale 2013-02-13 15:56:56	LT-NO:LP-DIR-AF	g	0	u	8	273	Wiess		pmagpy-4.1.5	4.90e-10	3.00e-12	1.72e-12	8.20e-13
7325B71:LP-DIR-AF1	7325B71:LP-DIR-AF	7325B71	    0.4	070.2	-61.1 	 1.500e-03	0	0.00	0.00	1	273	This study	mit pale 2013-02-13 15:58:10	LT-AF-Z:LP-DIR-AF	g	1	u	8	273	Wiess		pmagpy-4.1.5	4.20e-10	3.06e-12	9.20e-13	8.30e-13
7325B71:LP-DIR-AF2	7325B71:LP-DIR-AF	7325B71	    0.5	058.4	-56.2 	 2.000e-03	0	0.00	0.00	2	273	This study	mit pale 2013-02-13 15:59:22	LT-AF-Z:LP-DIR-AF	g	2	u	8	273	Wiess		pmagpy-4.1.5	3.41e-10	2.70e-12	1.82e-12	5.70e-13
7325B71:LP-DIR-AF3	7325B71:LP-DIR-AF	7325B71	    1.1	039.7	-42.5 	 3.000e-03	0	0.00	0.00	3	273	This study	mit pale 2013-02-13 16:00:34	LT-AF-Z:LP-DIR-AF	g	3	u	8	273	Wiess		pmagpy-4.1.5	1.78e-10	1.74e-12	3.17e-12	5.70e-13
7325B71:LP-DIR-AF4	7325B71:LP-DIR-AF	7325B71	    1.1	019.2	-18.2 	 4.000e-03	0	0.00	0.00	4	273	This study	mit pale 2013-02-13 16:01:48	LT-AF-Z:LP-DIR-AF	g	4	u	8	273	Wiess		pmagpy-4.1.5	1.23e-10	1.50e-12	2.23e-12	3.70e-13
7325B71:LP-DIR-AF5	7325B71:LP-DIR-AF	7325B71	    1.5	345.0	 04.8 	 5.000e-03	0	0.00	0.00	5	273	This study	mit pale 2013-02-13 16:03:01	LT-AF-Z:LP-DIR-AF	g	5	u	8	273	Wiess		pmagpy-4.1.5	1.46e-10	1.78e-12	4.02e-12	2.90e-13
7325B71:LP-DIR-AF6	7325B71:LP-DIR-AF	7325B71	    1.2	357.6	-14.1 	 6.000e-03	0	0.00	0.00	6	273	This study	mit pale 2013-02-13 16:04:17	LT-AF-Z:LP-DIR-AF	g	6	u	8	273	Wiess		pmagpy-4.1.5	1.89e-10	2.17e-12	3.92e-12	3.90e-13
7325B71:LP-DIR-AF7	7325B71:LP-DIR-AF	7325B71	    1.2	351.0	 02.4 	 7.000e-03	0	0.00	0.00	7	273	This study	mit pale 2013-02-13 16:05:33	LT-AF-Z:LP-DIR-AF	g	7	u	8	273	Wiess		pmagpy-4.1.5	1.36e-10	5.60e-13	3.04e-12	1.90e-13
7325B71:LP-DIR-AF8	7325B71:LP-DIR-AF	7325B71	    0.9	043.1	-20.2 	 8.000e-03	0	0.00	0.00	8	273	This study	mit pale 2013-02-13 16:06:50	LT-AF-Z:LP-DIR-AF	g	8	u	8	273	Wiess		pmagpy-4.1.5	1.35e-10	8.40e-13	2.52e-12	4.30e-13
7325B71:LP-DIR-AF9	7325B71:LP-DIR-AF	7325B71	    1.2	041.2	-11.7 	 9.000e-03	0	0.00	0.00	9	273	This study	mit pale 2013-02-13 16:08:06	LT-AF-Z:LP-DIR-AF	g	9	u	8	273	Wiess		pmagpy-4.1.5	1.07e-10	1.62e-12	2.09e-12	4.20e-13
