tab 	specimens
analysts	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_tilt_correction	aniso_type	citations	experiments	instrument_codes	location	method_codes	sample	site	specimen	volume
							This study	318-U1359B-011H-1-W-75:LP-AN-MS	SIO-KLY4S	unknown		318-U1359B-011H-1-W-75	318-U1359B-011H-1-W-7	318-U1359B-011H-1-W-75	1.000e-05
	0.3415264:0.3403534:0.3181202:-0.0006608:0.0000948:0.0023186	192	2.284E-4	Normalized by trace	-1	AMS	This study	318-U1359B-011H-1-W-75:LP-AN-MS	SIO-KLY4S	unknown	LP-X:AE-H:LP-AN-MS:	318-U1359B-011H-1-W-75	318-U1359B-011H-1-W-7	318-U1359B-011H-1-W-75	
							This study	318-U1359B-011H-2-W-76:LP-AN-MS	SIO-KLY4S	unknown		318-U1359B-011H-2-W-76	318-U1359B-011H-2-W-7	318-U1359B-011H-2-W-76	1.000e-05
	0.3369955:0.3361130:0.3268916:0.0000845:-0.0005236:0.0003290	192	3.500E-4	Normalized by trace	-1	AMS	This study	318-U1359B-011H-2-W-76:LP-AN-MS	SIO-KLY4S	unknown	LP-X:AE-H:LP-AN-MS:	318-U1359B-011H-2-W-76	318-U1359B-011H-2-W-7	318-U1359B-011H-2-W-76	
							This study	318-U1359B-011H-3-W-78:LP-AN-MS	SIO-KLY4S	unknown		318-U1359B-011H-3-W-78	318-U1359B-011H-3-W-7	318-U1359B-011H-3-W-78	1.000e-05
	0.3373485:0.3364144:0.3262371:-0.0002281:0.0005881:-0.0011413	192	3.523E-4	Normalized by trace	-1	AMS	This study	318-U1359B-011H-3-W-78:LP-AN-MS	SIO-KLY4S	unknown	LP-X:AE-H:LP-AN-MS:	318-U1359B-011H-3-W-78	318-U1359B-011H-3-W-7	318-U1359B-011H-3-W-78	
							This study	318-U1359B-011H-4-W-96:LP-AN-MS	SIO-KLY4S	unknown		318-U1359B-011H-4-W-96	318-U1359B-011H-4-W-9	318-U1359B-011H-4-W-96	1.000e-05
	0.3343428:0.3323376:0.3333195:0.0007210:-0.0005503:0.0011256	192	3.300E-4	Normalized by trace	-1	AMS	This study	318-U1359B-011H-4-W-96:LP-AN-MS	SIO-KLY4S	unknown	LP-X:AE-H:LP-AN-MS:	318-U1359B-011H-4-W-96	318-U1359B-011H-4-W-9	318-U1359B-011H-4-W-96	
							This study	318-U1359B-011H-5-W-88:LP-AN-MS	SIO-KLY4S	unknown		318-U1359B-011H-5-W-88	318-U1359B-011H-5-W-8	318-U1359B-011H-5-W-88	1.000e-05
	0.3364127:0.3357531:0.3278341:-0.0002679:0.0002715:-0.0005652	192	3.415E-4	Normalized by trace	-1	AMS	This study	318-U1359B-011H-5-W-88:LP-AN-MS	SIO-KLY4S	unknown	LP-X:AE-H:LP-AN-MS:	318-U1359B-011H-5-W-88	318-U1359B-011H-5-W-8	318-U1359B-011H-5-W-88	
							This study	318-U1359B-011H-6-W-60:LP-AN-MS	SIO-KLY4S	unknown		318-U1359B-011H-6-W-60	318-U1359B-011H-6-W-6	318-U1359B-011H-6-W-60	1.000e-05
	0.3331987:0.3326358:0.3341655:-0.0000185:0.0003506:0.0005154	192	2.534E-4	Normalized by trace	-1	AMS	This study	318-U1359B-011H-6-W-60:LP-AN-MS	SIO-KLY4S	unknown	LP-X:AE-H:LP-AN-MS:	318-U1359B-011H-6-W-60	318-U1359B-011H-6-W-6	318-U1359B-011H-6-W-60	
							This study	318-U1359B-012H-1-W-68:LP-AN-MS	SIO-KLY4S	unknown		318-U1359B-012H-1-W-68	318-U1359B-012H-1-W-6	318-U1359B-012H-1-W-68	1.000e-05
	0.3352440:0.3336037:0.3311523:0.0002537:0.0002714:0.0004384	192	3.588E-4	Normalized by trace	-1	AMS	This study	318-U1359B-012H-1-W-68:LP-AN-MS	SIO-KLY4S	unknown	LP-X:AE-H:LP-AN-MS:	318-U1359B-012H-1-W-68	318-U1359B-012H-1-W-6	318-U1359B-012H-1-W-68	
							This study	318-U1359B-012H-2-W-83:LP-AN-MS	SIO-KLY4S	unknown		318-U1359B-012H-2-W-83	318-U1359B-012H-2-W-8	318-U1359B-012H-2-W-83	1.000e-05
