tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
BL9001-1:LP-DIR-AF0	BL9001-1:LP-DIR-AF	BL9001-1	    0.7	180.8	 14.3 	0	0	0.00	0.00	0	273	This study	verhooge 2010-03-16 12:35:19	LT-NO:LP-DIR-AF	g	0	u	8	273	Hagstrum		pmagpy-4.1.5	6.43e-06	2.04e-09	7.94e-09	7.88e-10
BL9001-1:LP-DIR-AF1	BL9001-1:LP-DIR-AF	BL9001-1	    0.9	183.0	 02.8 	 1.000e-02	0	0.00	0.00	1	273	This study	verhooge 2010-03-16 12:38:56	LT-AF-Z:LP-DIR-AF	g	1	u	8	273	Hagstrum		pmagpy-4.1.5	4.85e-06	7.16e-09	7.88e-09	6.98e-10
BL9001-1:LP-DIR-AF2	BL9001-1:LP-DIR-AF	BL9001-1	    1.5	183.3	 00.7 	 2.000e-02	0	0.00	0.00	2	273	This study	verhooge 2010-03-16 12:42:40	LT-AF-Z:LP-DIR-AF	g	2	u	8	273	Hagstrum		pmagpy-4.1.5	3.66e-06	3.05e-09	9.52e-09	5.24e-10
BL9001-1:LP-DIR-AF3	BL9001-1:LP-DIR-AF	BL9001-1	    1.3	182.2	 00.6 	 3.000e-02	0	0.00	0.00	3	273	This study	verhooge 2010-03-16 12:46:31	LT-AF-Z:LP-DIR-AF	g	3	u	8	273	Hagstrum		pmagpy-4.1.5	2.83e-06	2.93e-09	6.48e-09	4.18e-10
BL9001-1:LP-DIR-AF4	BL9001-1:LP-DIR-AF	BL9001-1	    2.1	183.7	 00.1 	 4.500e-02	0	0.00	0.00	4	273	This study	verhooge 2010-03-16 12:50:34	LT-AF-Z:LP-DIR-AF	g	4	u	8	273	Hagstrum		pmagpy-4.1.5	2.20e-06	9.24e-10	8.01e-09	3.26e-10
BL9001-1:LP-DIR-AF5	BL9001-1:LP-DIR-AF	BL9001-1	    2.4	181.6	-02.8 	 6.000e-02	0	0.00	0.00	5	273	This study	verhooge 2010-03-16 12:54:48	LT-AF-Z:LP-DIR-AF	g	5	u	8	273	Hagstrum		pmagpy-4.1.5	1.83e-06	1.81e-09	7.74e-09	2.67e-10
BL9001-1:LP-DIR-AF6	BL9001-1:LP-DIR-AF	BL9001-1	    2.8	180.2	-01.5 	 8.000e-02	0	0.00	0.00	6	273	This study	verhooge 2010-03-16 12:59:19	LT-AF-Z:LP-DIR-AF	g	6	u	8	273	Hagstrum		pmagpy-4.1.5	1.61e-06	3.03e-09	7.95e-09	1.79e-10
BL9002-1:LP-DIR-AF0	BL9002-1:LP-DIR-AF	BL9002-1	    0.7	157.5	-11.0 	0	0	0.00	0.00	0	273	This study	verhooge 2010-03-16 13:02:09	LT-NO:LP-DIR-AF	g	7	u	8	273	Hagstrum		pmagpy-4.1.5	8.74e-06	3.71e-09	1.10e-08	4.30e-09
BL9002-1:LP-DIR-AF1	BL9002-1:LP-DIR-AF	BL9002-1	    0.7	159.1	-14.7 	 1.000e-02	0	0.00	0.00	1	273	This study	verhooge 2010-03-16 13:05:45	LT-AF-Z:LP-DIR-AF	g	8	u	8	273	Hagstrum		pmagpy-4.1.5	7.25e-06	9.73e-09	7.44e-09	4.06e-09
BL9002-1:LP-DIR-AF2	BL9002-1:LP-DIR-AF	BL9002-1	    1.0	159.2	-15.0 	 2.000e-02	0	0.00	0.00	2	273	This study	verhooge 2010-03-16 13:09:29	LT-AF-Z:LP-DIR-AF	g	9	u	8	273	Hagstrum		pmagpy-4.1.5	5.65e-06	1.24e-08	6.51e-09	3.81e-09
